,unknown,asfalt,fliser,grus,ubefestet,green_roof,drivhus,betonflade,brosten,unknown2,solceller
unknown,0.0,0.0,0.0,0.96,99.04,0.0,0.0,0.0,0.0,0.0,0.0
asfalt,0.0,0.0,0.0,11.56,88.44,0.0,0.0,0.0,0.0,0.0,0.0
fliser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grus,0.0,0.0,0.0,8.95,91.05,0.0,0.0,0.0,0.0,0.0,0.0
ubefestet,0.0,0.0,0.0,0.06,99.94,0.0,0.0,0.0,0.0,0.0,0.0
green_roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drivhus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betonflade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brosten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solceller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
